feature_name,importance,rank
liabilities_to_assets,0.11542992919296052,1
ev_to_mc,0.11508879825463589,2
ocf_growth_yoy,0.08725606796050206,3
net_income_growth_yoy,0.06520337839193958,4
vol_3m,0.06271590152619283,5
ret_12m,0.06152083872566035,6
ma3_dev,0.059035682256888745,7
asset_growth_yoy,0.05696474767086472,8
ret_1m,0.05503009687369998,9
vol_6m,0.051965077535705305,10
momentum,0.050530221706175715,11
reversal,0.04839837509520885,12
