month,ret_1m,ret_3m,ret_6m,ret_12m,vol_3m,vol_6m,ma3_dev,ma6_dev,ma12_dev,momentum,trend,reversal,pe,ps,pb,ev_to_mc,revenue_growth_yoy,net_income_growth_yoy,ocf_growth_yoy,liabilities_to_assets,asset_growth_yoy,target_return
2019-07-01,0.0794959321132298,0.001799370220422869,-0.2375898403830825,-0.014165559982293074,0.11423909026286756,0.10753504525294252,0.07204751399306031,-0.04070643291482834,-0.03589595236442833,-0.3170857724963123,0.03134108107823197,-0.0794959321132298,0.0,0.0,0.0,-0.29564673511455,2.28267432421111,8.340854935553997,1.257776210742224,0.49724314743973264,1.3322282399487415,0.4714863044454425
2019-08-01,0.4714863044454425,0.6874356333676621,0.09452234153231998,0.6935400516795867,0.23143744427342522,0.23716261361076527,0.29919388528074387,0.38347876982097917,0.35315371581553934,-0.3769639629131225,0.682672655101723,-0.4714863044454425,0.0,0.0,0.0,-0.20870838258211954,1.6909871593173391,-0.8455085766801029,2.813731331207638,0.5381439951729967,1.3357398181210702,-0.016783613060726288
2019-09-01,-0.016783613060726288,0.5618033234029727,0.2991936410965179,0.2255610412491047,0.2586289862465572,0.21776900216247108,0.1077240647751081,0.2927645178547549,0.30383763844283274,0.3159772541572442,0.400488582629863,0.016783613060726288,0.0,0.0,0.0,-0.21290811342767535,1.6909871593173391,-0.8455085766801029,2.813731331207638,0.5381439951729967,1.3357398181210702,0.2687771487033783
2019-10-01,0.2687771487033783,0.8356533902110463,0.8389564102564102,1.3161473654390936,0.24530371067394427,0.21448193698616222,0.15840181999807657,0.4583507018351227,0.5341026737967911,0.5701792615530319,0.6167525218331993,-0.2687771487033783,0.0,0.0,0.0,-0.1694140200882467,1.6909871593173391,-0.8455085766801029,2.813731331207638,0.5381439951729967,1.3357398181210702,-0.1205968659345189
2019-11-01,-0.1205968659345189,0.09704000610314312,0.8511843975283211,0.5657666622720672,0.20163261285762907,0.2131391027970073,-0.01100412624472824,0.16771331563757763,0.2964298876281408,0.97178126346284,0.1567091893928494,0.1205968659345189,0.0,0.0,0.0,-0.2135773783406928,1.228059511009608,1.1259756920323074,0.6048860711542694,0.5980511168364525,0.745117056311184,0.05201666058368115
2019-12-01,0.05201666058368115,0.173805053575262,0.8332526337010486,0.6853831691005718,0.19510367415905325,0.2137763532844049,-0.010379432876067463,0.12386705278787002,0.30361348508182484,0.7812359731173675,0.11348761991180256,-0.05201666058368115,0.0,0.0,0.0,-0.2041185608088556,1.228059511009608,1.1259756920323074,0.6048860711542694,0.5980511168364525,0.745117056311184,-0.06874666842940236
2020-01-01,-0.06874666842940236,-0.13845400835484312,0.5814998203861699,0.20575153049474615,0.08856979747887275,0.22783110942033774,-0.03055325203131931,-0.016475835120993154,0.19339265401615724,0.6502464888155722,-0.047029087152312465,0.06874666842940236,0.0,0.0,0.0,-0.22076772719981497,1.228059511009608,1.1259756920323074,0.6048860711542694,0.5980511168364525,0.745117056311184,0.015899999548551813
2020-02-01,0.015899999548551813,-0.004728845487375732,0.09185227342081159,0.19505670691193355,0.0619855537449637,0.13558010272734092,-0.013600468663848675,-0.01464179995444359,0.19269976056918292,0.07595227387225978,-0.028242268618292266,-0.015899999548551813,0.0,0.0,0.0,-0.21548845555947538,0.9088919160893978,-0.27734557589794595,0.47020345241536265,0.6759436065444101,0.7613177953077415,0.006987143850954336
2020-03-01,0.006987143850954336,-0.047329481755684966,0.11824946870734099,0.452822598904137,0.046511840282829266,0.13457207797498044,0.009903746705631322,-0.024810569177144748,0.16470014232880725,0.11126232485638665,-0.014906822471513426,-0.006987143850954336,0.0,0.0,0.0,-0.20822502395283926,0.9088919160893978,-0.27734557589794595,0.47020345241536265,0.6759436065444101,0.7613177953077415,0.31668055278047613
2020-04-01,0.31668055278047613,0.3469618867983564,0.16046961446992136,1.1340530364372468,0.17628499072693657,0.15214910610210422,0.1934591243637518,0.24710828622111936,0.43601641651741807,-0.15621093831055477,0.44056741058487114,-0.31668055278047613,0.0,0.0,0.0,-0.15072186078291028,0.9088919160893978,-0.27734557589794595,0.47020345241536265,0.6759436065444101,0.7613177953077415,0.40957007608705887
